kuae.hu,kuaehu,"silent, still, lonely. ",hu
kuahi.ne,kuahine,"(more commonly Tuahine). Name of a misty rain famous in Mānoa, Oʻahu, named for Kuahine, who turned to rain after the murder of her daughter, Ka-hala-o-Puna; the rain is also in other localities. ",ne
kuahinahi.na,kuahinahina,gray-headed. Molokaʻi. ,na
kopenahake.na,kopenahakena,Copenhagen. ,na
kopi.na,kopina,coping on the top of a building. ,na
kopia.na,kopiana,scorpion. ,na
kope.na,kopena,"hornet, wasp, scorpion (kopiana is the usual name for scorpion). ",na
kuahau.li,kuahauli,"large ʻōʻio, ladyfish or bonefish. ",li
kopeko.pe,kopekope,"   • to scribble.
   • redup. of kope₁ to rake, scratch...    ",pe
kuaho.nu,kuahonu,"name of a quilting design. lit., turtle back. ",nu
kuakema.la,kuakemala,Guatemala. ,la
kuaka.la,kuakala,"medicine made of pua kala plant and taken as treatment for pyorrhea, neuralgia, stomach ulcers. ",la
kual.au,kualau,shower accompanied by sea wind. ,au
kuakual.au,kuakualau, ,au
kualo.no,kualono,"region near the mountaintop, ridge. ",no
kuake.ao,kuakeao,"lit., back of the light. ",ao
kual.ua,kualua,"four generations removed, of a great-great-grandparent or great-great-grandchild, as kupuna kualua, moʻopuna kualua; for some speakers, three generations removed. ",ua
kuak.ua,kuakua, ,ua
kuako.lu,kuakolu,"five generations removed, of a great-great-great-grandparent or great-great-great-grandchild, as kupuna kuakolu, moʻopuna kuakolu, for some speakers, four generations removed. ",lu
kuala.pa,kualapa,ridge. ,pa
kuaku.ai,kuakuai, ,ai
kuakea.hu,kuakeahu,"distant legendary place, as the brink of the nether world into which spirits leaped. Also Leinaakeakua. ",hu
kualape.hu,kualapehu,"pugilist in the high chief's court, a muscular young man who might also be asked to massage a chiefess or have relations with her. ",hu
kuali.ma,kualima,seven generations removed. ,ma
kualak.ai,kualakai,"a sea creature, perhaps Aplysia dactylomela or A. juliana. ",ai
kualia.li,kualiali, ,li
kuapa.la,kuapala,a taboo chief who had the right to carry a pala fern in ceremonies. ,la
kuapo.la,kuapola,taboo night proclaimed in month of ʻIkuwā during the makahiki festivals. ,la
kuao.la,kuaola,"verdant mountain, where all thrives and grows. ",la
kuhik.au,kuhikau,"to point out, direct. ",au
kuh.ua,kuhua,"to thicken, as scrambled eggs; to become pasty; to gel. ",ua
kuha.ua,kuhaua, ,ua
kuhuh.ua,kuhuhua, ,ua
kuhaul.ua,kuhaulua,children of a high chief by a secondary wife or of second degree collaterality. ,ua
kuapa.pa,kuapapa,"   • heap, pile; to heap or pile up; heaped up; 
   • numerous. ",pa
kuanal.io,kuanalio,northern heavens and its stars. ,io
kuekue.ne,kuekuene, ,ne
kue.hu,kuehu,"   • to shake, stir up, as dust;
   • to knock a club from a foe's hands; 
   • to toss up, as spray; 
   • to brandish, wave; 
   • to clear of weeds; 
   • to drive off, especially evil spirits (tapa or ti leaves were torn into strips, blessed, and passed over a patient in order to exorcise spirits). 
cf. ehu, spray. ",hu
kuekue.hu,kuekuehu, ,hu
kuawe.li,kuaweli,dark in color. ,li
kuanu.nu,kuanunu,stroke in lua fighting. ,nu
kuau.li,kuauli,"verdant countryside. lit., green back. ",li
kuawi.li,kuawili,"   • long repetitious prayer said at luakini dedication ceremonies, 
   • hence repetitiousness in general; 
   • to repeat, 
   • to wander, digress, perhaps senselessly. ",li
kukawe.ke,kukaweke,raincoat. ,ke
kuke.ke,kukeke,duchess. ,ke
kuinike.ke,kuinikeke,quintet. ,ke
kukeku.ke,kukekuke, ,ke
kukami.no,kukamino,"sycamine, a tree mentioned by Jesus; according to (Harper), a mulberry, probably the black variety. ",no
kuka.ua,kuka ua,raincoat. ,ua
kuileh.ua,kuilehua,"name of a breeze blowing from the northwest of Niʻihau. lit., strike Lehua (Island). ",ua
kuipa.pa,kuipapa,"method of making a hat lei by sewing leaves and flowers to a pandanus strip; to make such a lei. lit., string on a base. ",pa
kuka.ne,kukane,"a rough lemon (Citrus limonia), liked for the fragrance of the skin, but too sour to eat. lit., having the nature of the kane skin fungus. ",ne
kuikila.na,kuikilana,Switzerland; Swiss. ,na
kuku.ma,kukuma,"a crab, often qualified by the terms kea, white, and ʻōhuluhulu, hairy. ",ma
kukai.ma,kukaima, ,ma
kuki.ma,kukima,mandrake. ,ma
kui.na,kuina,"a stringing together, as of leis. ",na
Domain,Word,Definition,TLD
kuikila.na,kuikilana,Switzerland; Swiss. ,na
kui.na,kuina,"a stringing together, as of leis. ",na
kuileh.ua,kuilehua,"name of a breeze blowing from the northwest of Niʻihau. lit., strike Lehua (Island). ",ua
kuka.ua,kuka ua,raincoat. ,ua
kukeka.ni,kukekani,Tuscany. ,ni
kui.ni,kuini,queen. ,ni
kuku.ma,kukuma,"a crab, often qualified by the terms kea, white, and ʻōhuluhulu, hairy. ",ma
kuka.ne,kukane,"a rough lemon (Citrus limonia), liked for the fragrance of the skin, but too sour to eat. lit., having the nature of the kane skin fungus. ",ne
kukami.no,kukamino,"sycamine, a tree mentioned by Jesus; according to (Harper), a mulberry, probably the black variety. ",no
kuku.na,kukuna,"   • ray, as of the sun; 
   • radius of a circle; 
   • spoke of a wheel; 
   • antenna of a lobster; 
   • spike of hāʻukeʻuke, a sea urchin; 
   • feeler of any creature; 
   • pistil of a flower. ",na
kuki.ma,kukima,mandrake. ,ma
kukai.ma,kukaima, ,ma
kuipa.pa,kuipapa,"method of making a hat lei by sewing leaves and flowers to a pandanus strip; to make such a lei. lit., string on a base. ",pa
kuke.ke,kukeke,duchess. ,ke
kukawe.ke,kukaweke,raincoat. ,ke
kukeku.ke,kukekuke, ,ke
kuinike.ke,kuinikeke,quintet. ,ke
kulaku.la,kulakula,fields. ,la
kule.kia,kulekia,Crusader. ,kia
kuli.na,kulina,"deafness, disobedience, noise. ",na
kulo.li,kuloli,"having no wife, children, or relatives (name derived from a lone mulberry tree growing in a cave at Kūloli, Kona, Hawaiʻi, which was known as ka wauke kū kahi a Kūloli, the lone mulberry tree of Kūloli); also said of any very young wauke plant. ",li
kulapepei.ao,kulapepeiao,"earring. lit., gold [for] ears. ",ao
kuluh.io,kuluhio,wafted off to sleep. ,io
kulukulu.na,kulukuluna,"flowing, leaking, dripping. ",na
kuleka.na,kulekana,sultan. ,na
kuluku.lu,kulukulu,"to drip, leak, drop: leaky. ",lu
kula.na,kulana,"to tilt, rock, reel, sway, toss and pitch; wobbly, shaky, unsteady. fig., insecure, hesitant. ",na
kule.pa,kulepa,sulphur. ,pa
kuli.pa,kulipa,tulip. ,pa
kulu.ma,kuluma,"accustomed to, acquainted with, intimate with; customary, usual, chronic. ",ma
kul.ua,kulua, ,ua
kuli.ma,kulima, ,ma
kule.ke,kuleke,"Turkey, Turk; Turkish. ",ke
kulaku.ke,kulakuke,Syracuse. ,ke
kule.ne,kulene,Cyrene. ,ne
kulea.na,kuleana,"right, privilege, concern, responsibility, title, business, property, estate, portion, jurisdiction, authority, liability, interest, claim, ownership, tenure, affair, province; reason, cause, function, justification; small piece of property, as within an ahupuaʻa; blood relative through whom a relationship to less close relatives is traced, as to in-laws. ",na
kuku.ni,kukuni, ,ni
kumuhon.ua,kumuhonua,concoction made of gourd vine and kukui nuts. ,ua
kumule.na,kumulena,"name of a disease, perhaps jaundice. ",na
kumaka.la,kumakala,Sumatra. ,la
kumul.au,kumulau,"female who has produced young, as of horse, cow, pig, chicken; to have produced young, female; root with many sprouts, propagating plant (rare); major source. ",au
kumepa.la,kumepala,cymbal. ,la
kunaku.na,kunakuna,"itch, scabies; scabby skin condition; to itch. ",na
kumumu.mu,kumumumu, ,mu
kumepela.na,kumepelana,Cumberland. ,na
kumu.mu,kumumu, ,mu
kumula.ni,kumulani,base of the sky; horizon. ,ni
kuniku.ni,kunikuni, ,ni
kumeh.eu,kumeheu,"path, trail, road. ",eu
kumaku.ma,kumakuma, ,ma
kumuku.mu,kumukumu,"   • truncated stumps, roots; 
   • stubs, as of cut grass or decayed teeth; 
   • stump, 
   • stubble, as of a beard. ",mu
kumi.ma,kumima,Thummim. ,ma
kune.ke,kuneke,Sunday. ,ke
kumuha.na,kumuhana,"topic, subject (as topic of discourse or grammatical subject); matter. (kumu₁ + -hana, nominalizer.) ",na
kumumi.ki,kumumiki,a mat motif with a continuous row of red lozenges with their lateral angles touching. ,ki
kupeka.la,kupekala,"an edible bivalve found at Pearl Harbor, possibly Chama species. ",la
kunu.na,kununa, ,na
laehaoke.la,laehaokela,"unicorn, rhinoceros. lit., brow with protruding horn. ",la
lahai.na,lahaina,"a variety of sugar cane, usually free tasseling, heavy stooling, and with rather semierect to recumbent growth; large, long heavy tops. ",na
kupu.na,kupuna,"starting point, source; growing. ",na
lahalahai.na,lahalahaina, ,na
kuokekima.la,kuokekimala,duodecimal. ,la
lahol.io,laholio,"rubber; automobile tire; elastic, rubbery. lit., horse scrotum. ",io
kupuw.ao,kupuwao,"an endemic genus of small trees (Broussaisia), with a few forms, in the saxifrage family. lit., mountain sprout. ",ao
kuo.ni,kuoni,"to walk gently, slowly, softly; to lag behind. ",ni
laehi.na,laehina,"same as noio, a tern. lit., white brow. ",na
kuoloka.ni,kuolokani,"timbrel (Puk. 15.20) , psaltery (Hal. 92.3) . ",ni
laeh.ao,laehao,Cape Horn. ,ao
kupualalookala.ni,kupualalookalani,"name of a star. lit., demigod beneath the heavens. ",ni
kup.ae,kupae,goodbye; to say goodbye. ,ae
lahole.na,laholena,"lazy, indolent, idling. ",na
kupeli.na,kupelina,Dublin. ,na
kupalo.ke,kupaloke,"tuberose (Polianthes tuberosa), popular in leis. ",ke
lahalah.ai,lahalahai, ,ai
lahalaw.ai,lahalawai,"slippery, muddy. ",ai
lak.ua,lakua,"to talk incongruously, mixing proper and improper talk. ",ua
laku.na,lakuna,raccoon. ,na
laipa.la,laipala, ,la
lalahe.la,lalahela,"lazy, sinful. ",la
laipe.la,laipela,rifle. ,la
lahon.ua,lahonua, ,ua
laipi.la,laipila,libel; to libel. ,la
lalah.ua,lalahua, ,ua
laima.na,laimana,layman. ,na
lai.na,laina,"hives, urticaria ",na
lalah.ai,lalahai, ,ai
lake.ke,lakeke,"jacket, blouse. ",ke
laiki.ni,laikini,license. ,ni
lainaki.ni,lainakini, ,ni
lala.pa,lalapa, ,pa
lala.na,lalana,spider. ,na
lakahe.ke,lakaheke,"loghead [loggerhead, thick-headed or stupid person]. ",ke
lalila.li,lalilali, ,li
lakio.like,lakio like,"proportion, equal ratio. ",like
lanala.na,lanalana, ,na
lanaki.la,lanakila,"wind, Hauʻula, Oʻahu. ",la
lapela.na,lapelana,Lapland. ,na
lapai.ki,lapaiki,small drum. ,ki
lapaui.la,lapauila, ,la
lanaka.na,lanakana, ,na
lapaw.ai,lapawai,amniotic fluid. ,ai
lan.au,lanau,"unfriendly, unsociable. ",au
lanah.ua,lanahua,"crook, protuberance, hump; bent out, convex. ",ua
lamala.ma,lamalama,torch fishing; torch; to go torch fishing. ,ma
laniu.ma,laniuma,both flowering and aromatic-leaved pelargoniums also called rose geraniums. ,ma
laol.ao,laolao,"deep booming sound, as of distant surf. ",ao
lanila.ni,lanilani, ,ni
lapala.pa,lapalapa,"steep-ridged, many-ridged. ",pa
lanakamala.ma,lanakamalama,"name of a star. lit., the light floats. ",ma
lanipi.li,lanipili, ,li
lauma.ki,laumaki, ,ki
lauka.na,laukana,"uninterested in religion, indifferent to religion. ",na
laul.au,laulau,hat rim. ,au
laukama.na,laukamana,laudanum. ,na
lauhalala.na,lauhalalana,"vagabond, drifter, one as useless as pandanus leaves adrift in the sea. lit., floating pandanus leaf. ",na
laukapala.la,laukapalala,"legendary name for broad leaves of the first taro, said to have been born of a woman. ",la
laumanama.na,laumanamana,a variety of sweet potato. ,na
laulau.na,laulauna,"sociable, friendly, gregarious, genial. ",na
lauh.ua,lauhua,"a kind of ʻoʻopu, a fish. ",ua
lauh.au,lauhau,"brightly colored butterfly fish (Chaetodon quadrimaculatus and C. umimaculatus). This name may be qualified by the terms kapuhili, kīkākapu, maha uli, nuku ʻiʻiwi or nuku ʻiwi, and wiliwili. ",au
lauka.nu,laukanu,planted sweet-potato vine. ,nu
lauk.ua,laukua,"confused, repetitious, mixed, incoherent, as speech; miscellaneous; irregular-shaped, as some leaves. ",ua
laukama.ni,laukamani,"wind associated with Hālawa, Molokaʻi.  lit., kamani leaf. ",ni
lauman.ie,laumanie, ,ie
lauhu.lu,lauhulu,"   • dry banana leaf; 
   • to wrap, as a bundle, with ti leaves inside and banana leaves outside. 
   • fig., outsider, one from another locality (sometimes said disparagingly). ",lu
lauli.ma,laulima,"cooperation, joint action; group of people working together; community food patch; to work together, cooperate. lit., many hands. ",ma
laula.ma,laulama,"design on a Niʻihau mat. lit., many torches or lama tree leaves. ",ma
laume.ke,laumeke, ,ke
lauko.na,laukona,"a variety of sugar cane with green and yellow striped canes and leaves; used in sorcery, because of the meaning of laukōnā, to break the influence of the hana aloha love magic and change love into hatred. ",na
laua.ki,lauaki,"to cooperate, work together, as of experts; to concentrate on the same task; to pool talents. ",ki
lauhu.ki,lauhuki,"tapa soaking, to soak tapa. ",ki
laukonako.na,laukonakona, ,na
laweha.la,lawehala,"   • sin, sinner, sinful; to sin, transgress.
   • delinquency, delinquent, 
   • offense; 
   • evil. ",la
lehuui.la,lehuuila,flashes of lightning; to flash. ,la
laweha.na,lawehana,"workman, laborer; industrious; to do labor, work. ",na
lehuako.na,lehuakona,"star in the Milky Way, perhaps Antares. lit., south lehua flower. ",na
lei.au,leiau,an ancient type of prayer. ,au
lehopu.lu,lehopulu,"earth-clinging rainbow. lit., wet cowry shell. ",lu
leiha.la,leihala,a variety of eel. ,la
lawak.ua,lawakua,"strong-backed, muscular, of strong physique, bulging with muscles. ",ua
laun.ie,launie, ,ie
lehaleh.ai,lehalehai, ,ai
lawe.na,lawena,"getting, acquiring, taking, carrying, acquisition; movement, as of dancing hands. ",na
lawe.au,laweau,"to drift apart; to depart, as in death. ",au
laup.au,laupau,a kind of fish. ,au
lawel.ua,lawelua,"to study both sides of a question; to act impartially. lit., take two. ",ua
leih.ua,leihua,"lit., fruit lei, so called because the flowers are round like a fruit. ",ua
lawalawaihon.ua,lawalawaihonua,type of large wooden bowl. ,ua
laupa.pa,laupapa,"a broad flat, as of coral, lava, reef. ",pa
leh.ua,lehua,"the flower of the ʻōhiʻa tree (Metrosideros macropus, M. collina subsp. polymorpha); also the tree itself. The lehua is the flower of the island of Hawaiʻi, as designated in 1923 by the Territorial legislature; it is famous in song and tale. see nāpolupolu, pōkiʻi₁, ʻūpolu. fig., a warrior, beloved friend or relative, sweetheart, expert (see lehua₉). The plant has many forms, from tall trees to low shrubs, leaves round to narrow and blunt or pointed and smooth or woolly. The flowers are red, rarely salmon, pink, yellow, or white. The wood is hard, good for flooring and furniture, formerly used for images, spears, mallets. (Neal 637–8). It grows abundantly in wet areas (see ex., ʻūpolu). It was believed that picking lehua blossoms would cause rain. For rain and wind names associated with lehua see Kanilehua, Kinailehua. Kinimakalehua, Kiu Wai Lehua, Līlīlehua, Moanianilehua, Moelehua. see also lū lehua, Moaʻe Lehua, ʻōiwi₂ (chant). cf. Marquesan heʻua ",ua
leiki.ni,leikini, ,ni
lehule.hu,lehulehu,"   • multitude, crowd, population, 
   • the public; 
   • great number, numerous,  legion, very many, innumerable, myriad.   ",hu
lauwiliwi.li,lauwiliwili,a butterfly fish (Chaetodon miliaris). ,li
lauwi.li,lauwili,"   • circuitous, roundabout, indirect, 
   • turning, twisting, 
   • unstable, fickle, changeable, inconstant, 
   • double-tongued, 
   • variable.   ",li
laupal.ai,laupalai,"to shine, glitter, sparkle, as dew in the sun. ",ai
lekah.one,lekahone,Leghorn (city and chicken) ,one
leilei.na,leileina, ,na
leine.kia,leinekia,reindeer. ,kia
lekeo.na,lekeona,"legion; a large number (Mar. 5.9, 15) ; used figuratively of one possessed by the devil or intoxicated. ",na
lelepin.ao,lelepinao,"to swing on a koali vine. lit., dragonfly leap. ",ao
lele.na,lelena, ,na
lelehu.na,lelehuna,"fine windblown rain spray, dust, mist; to fall as fine rain. ",na
leioma.no,leiomano,"a weapon, a large shark tooth set in a piece of wood about 6.4 cm long, with a string loop for attaching to the finger (probably from lei o manō, a shark's lei). ",no
lelepin.au,lelepinau,game said to resemble kōnane. ,au
lei.na,leina,"spring, leap, bound; place to leap from. ",na
lelep.au,lelepau,to trust completely. ,au
leku.ke,lekuke,lettuce (Lactuca sativa). ,ke
leleio.na,leleiona,"shark-sucker, remora (Echeneidae spp.); it clings to large fish, such as swordfish, marlin, bonito, shark. ",na
lelepu.ni,lelepuni,a musical interval of an octave. ,ni
lele.pe,lelepe,"toothed, sharp-pointed design, as in tapa. ",pe
lelepo.ni,leleponi,"to die suddenly, as by stroke or accident. ",ni
lele.hu,lelehu, ,hu
leleh.ua,lelehua,"a good thinker, planner. ",ua
lele.mu,lelemu,"a slowpoke; slow, sluggish, disinclined to get up. ",mu
leke.ma,lekema,"jacinth (RSV), ligure (KJV). ",ma
lekineko.na,lekinekona,Lexington. ,na
leioma.nu,leiomanu, ,nu
leopa.ki,leopaki,leopard. ,ki
lepeohi.na,lepeohina,"a red seaweed (Halymenia formosa) with flat blades bearing fringed and irregular margins, with a variety of colors ranging from red to yellow; common allusion to swirling in water resembling movement of pāʻū in dancing. Also called leheleheʻīlio, lepelepeohina, limupepeohina, pāʻūohiʻiaka. ",na
leneki.la,lenekila,lentils (Lens esculenta). ,la
lepoh.ao,lepohao,"rust; rusty. lit., iron dirt. ",ao
lemuh.ao,lemuhao, ,ao
lemo.na,lemona, ,na
lepano.na,lepanona,Lebanon. ,na
lemule.mu,lemulemu, ,mu
lepeu.lu,lepeulu,"split or crack in wood, running with the grain. ",lu
lepel.ua,lepelua,a turncoat; unfaithful. ,ua
lepele.pe,lepelepe,fringed. ,pe
lewaala.ni,lewaalani,part of a heiau temple where human sacrifices were offered. ,ni
lele.ua,lele ua,windblown rain. ,ua
lepale.pa,lepalepa,to hang in fringes or tatters. ,pa
leoka.ni,leokani,"vowel. lit., voiced sound. ",ni
lepelepeohi.na,lepelepeohina,monarch butterfly (Danaus plexippus); Kamehameha butterfly. ,na
lenale.na,lenalena, ,na
lemuomaki.li,lemuomakili, ,li
leleu.li,leleuli,"name of a gusty, wintry wind. ",li
liku.la,likula,ligure. ,la
limal.au,limalau,(but some persons limit limalau cooperation to canoe and house building). ,au
lihalih.au,lihalihau, ,au
lewiaka.na,lewiakana,leviathan. ,na
likoleh.ua,likolehua,a variety of sweet potato ,ua
lilih.ua,lilihua,"prepared, supplied, outfitted. ",ua
likepo.na,likepona,Lisbon. ,na
limaha.na,limahana,"labor, laborer, worker, employee; industrious, busy. staff (HE). cf. hana lima under lima₁. ",na
lili.na,lilina,"linen, flax, linseed (Linum usitatissimum). ",na
liki.ki,likiki,"ticket, receipt. ",ki
likemo.na,likemona,Richmond. ,na
likili.ki,likiliki, ,ki
liliw.ai,liliwai,"a small native herb (Acaena exigua), growing in bogs, only on top of West Maui and Kauaʻi, the narrow, fernlike leaves forming a rosette. ",ai
liki.ni,likini,rigging. ,ni
like.like,likelike, ,like
lileiu.li,lileiuli,"to cleanse, as of sin. ",li
lihi.li,lihili,"confused, bewildered, unsuccessful. ",li
limahu.li,limahuli,"wind associated with Haʻena, Kauaʻi.  lit., turning hand. ",li
liwapu.la,liwapula,Liverpool. ,la
lio.na,liona,lion. ,na
lipela.la,lipelala,liberal. ,la
limupepeohi.na,limupepeohina, ,na
linoh.au,linohau,"dressed to perfection, beautifully decorated, ornamented. ",au
linali.na,linalina, ,na
lipi.na,lipina, ,na
liolioiwaw.au,liolioiwawau,"name of a star, and name for the southern sky. (Wawaʻu is a widely distributed Polynesian place name) see (PN 229). ",au
linokai.pa,linokaipa,"linotype, ",pa
linoleu.ma,linoleuma,linoleum. ,ma
lipa.no,lipano,frankincense. ,no
linoli.no,linolino, ,no
lim.ua,limua,"overgrown or covered with moss, seaweed, or any limu. ",ua
limali.ma,limalima,"   • to handle, use the hands; 
   • to pilfer, filch. ",ma
limuli.mu,limulimu, ,mu
lipio.ma,lipioma,small rounded adze or chisel. ,ma
lohel.au,lohelau,"wall and gable plates in house.  see illus. 1, illus. 2, illus. 3",au
loli.na,lolina,"a change, alteration. ",na
lolil.ua,lolilua, ,ua
lohi.na,lohina,delay. ,na
lole.na,lolena, ,na
loloamai.au,loloamaiau, ,au
loi.na,loina,"   • rule, 
   • custom, 
   • manners, 
   • code, precept, law; 
   • principle, as of a political party. ",na
loleh.au,lolehau,"limping, lame. ",au
lolel.au,lolelau,"thatching and trimming, of a house. lit., handle leaves. ",au
lolel.ua,lolelua,"changeable, fickle, unstable, inconstant, inconsistent, variable; turncoat. ",ua
lolohi.li,lolohili, ,li
loke.ma,lokema,"broom tree (RSV), juniper (KJV). ",ma
loke.li,lokeli,lottery. ,li
Domain,Word,Definition,TLD
lohel.au,lohelau,"wall and gable plates in house.  see illus. 1, illus. 2, illus. 3",au
loleh.au,lolehau,"limping, lame. ",au
loli.na,lolina,"a change, alteration. ",na
loloamai.au,loloamaiau, ,au
lolel.au,lolelau,"thatching and trimming, of a house. lit., handle leaves. ",au
loloh.ua,lolohua, ,ua
lohi.na,lohina,delay. ,na
lolil.ua,lolilua, ,ua
loia.like,loialike,royalist. ,like
lolel.ua,lolelua,"changeable, fickle, unstable, inconstant, inconsistent, variable; turncoat. ",ua
loke.ma,lokema,"broom tree (RSV), juniper (KJV). ",ma
lole.na,lolena, ,na
loke.li,lokeli,lottery. ,li
lolohi.li,lolohili, ,li
lonomak.ua,lonomakua,a legendary fire guardian and the name of the makahiki image. ,ua
lonol.au,lonolau,large-sized gourd. ,au
lolo.kia,lolokia,coconut stem. ,kia
lonolo.no,lonolono, ,no
lolop.ua,lolopua,zenith. ,ua
lual.ua,lualua,"uneven, full of holes, rough, bumpy, as a road. ",ua
louu.lu,louulu,"betrothal gift, as sent from one family to another. ",lu
lolop.io,lolopio,to die calmly and easily. ,io
lonopa.pa,lonopapa,"news spread far and wide; news so well bruited that everyone has heard repeatedly; spread far, of news. ",pa
lopi.ne,lopine,robin. ,ne
luahoa.na,luahoana,"halo or rainbow around sun or moon. lit., polished pit. ",na
lomalo.ma,lomaloma, ,ma
luahi.ne,luahine, ,ne
lonalo.na,lonalona, ,na
lolopi.li,lolopili,name of a design used on Niʻihau mats. ,li
lonoikamakahi.ki,lonoikamakahiki,the god of the annual fall harvest makahiki circuit of the islands when taxes were collected. He was symbolized by a tapa banner suspended on a mast with a tiny carving of a human head at the top. ,ki
lonolu.pe,lonolupe,a banner held up by two staffs. ,pe
luikiwi.la,luikiwila,Louisville. ,la
lukuluk.ua,lukulukua, ,ua
luaw.ai,luawai,"well, cistern (Isa. 36.16) , pool, pond, reservoir. ",ai
lue.hu,luehu,"easily scattered, dispersed, blown away; scaly, as skin. lit., scattered fine. ",hu
luhie.hu,luhiehu,"beautiful, attractive, festooned. ",hu
luki.pa,lukipa,Lucifer. ,pa
lulo.ni,luloni,to sleep soundly. ,ni
lua.na,luana,"to be at leisure, enjoy pleasant sorroundings and associates, live in comfort and ease, enjoy oneself, relax, be content. (see lua-, -na.) ",na
lualua.na,lualuana, ,na
luhi.na,luhina,"a laboring, wearying, caring for, etc. ",na
luikia.na,luikiana,Louisiana. ,na
luku.na,lukuna,"destruction, slaughter. ",na
lulilu.li,luliluli,agitated; ,li
lui.na,luina,sailor. ,na
luna.kia,luna kia,"upper part of a pillar, chapiter. ",kia
mahi.na,mahina,crescent-shaped fishhook. ,na
mahinal.ua,mahinalua,"a small creeping native fern (Grammitis tenella), with simple narrow fronds 5 cm long or longer, each bearing none to many round spots of spores. ",ua
mahal.ua,mahalua,"rude, disrespectful, saucy, overbearing; encroaching on the property or rights of others. lit., double temple. ",ua
lupe.pa,lupepa,rhubarb (Rheum rhaponticum). ,pa
lunihi.ni,lunihini,perhaps a land shell. ,ni
luwahi.ne,luwahine, ,ne
lupalu.pa,lupalupa,"flourishing, of luxuriant growth, lush, thriving. ",pa
maha.na,mahana,"warmth, heat; warm. ",na
mahe.na,mahena,"heap, pile, as of trash. ",na
mahi.li,mahili, ,li
mahapi.li,mahapili,name of twin stars (no data). ,li
maikone.kia,maikonekia,Micronesia; Micronesian. ,kia
mahuaka.la,mahuakala,"disbelieving, cynical, skeptical, as of religion; irreligious, atheistic. ",la
mai.la,maila,"the directional mai plus lā, there, then. ",la
maho.la,mahola,"to spread out; to smooth out, as a cloth to dry; to extend, expand. see hola₁ and ex. heʻe₁. ",la
mai.na,maina, ,na
mai.ao,maiao,name of a star used in navigation. ,ao
maih.ua,maihua,a variety of taro. ,ua
makah.ai,makahai,"hasty; active, as a child into everything. ",ai
mah.ua,mahua,"mockery, derision, spying (rarely used without hoʻo-). ",ua
maila.ni,mailani,"to extol, praise, treat as a chief or great favorite, indulge, spoil, favor. ",ni
mai.ne,maine,mine. ,ne
makahu.ne,makahune,"fine mesh or weft, as of net or mat. ",ne
mahuma.hu,mahumahu, ,hu
makaha.ni,makahani,"to step lightly, touch lightly, to skim lightly. ",ni
mainai.na,mainaina,"anger, wrath. ",na
makahi.nu,makahinu,kind of hard stone. ,nu
makahi.ki,makahiki,"ancient festival beginning about the middle of October and lasting about four months, with sports and religious festivities and taboo on war; this is now replaced by Aloha Week. ",ki
makaiau.li,makaiauli,"a limpet, Celluna exarata; flesh within ʻopihi shells. ",li
makai.li,makaili,"rocky patches where sweet potatoes or taro were cultivated (For. 6:165); soil consisting of coarse sand, cinders, or gravel. ",li
makaheki.li,makahekili,"hailstone. lit., thunder eye. ",li
maihu.li,maihuli,presents made at the birth of a child. ,li
mak.ao,makao,star name (no data). ,ao
makal.au,makalau,"carbuncle, boil. ",au
makanal.au,makanalau, ,au
makawe.la,makawela,"   • glowing, burning; 
   • full of hate, fury, anger. 
   • fig. term for the despised kauā, outcasts. ",la
makawelawe.la,makawelawela, ,la
makalap.ua,makalapua,"handsome, beautiful; to blossom forth. ",ua
makaua.ua,makauaua, ,ua
maka.ua,makaua,"hardhearted, unfriendly; troubled, vexed. lit., tough face. ",ua
makam.ua,makamua,lead horses or oxen in a team. ,ua
makape.hu,makapehu,"   • swollen; 
   • suffering from hunger; 
   • hungry person.   ",hu
makawa.lu,makawalu,"numerous, many, much, in great quantities (sometimes used with implication of chiefly mana). lit., eight eyes. ",lu
makal.io,makalio,"taut, as a rope. lit., tight mesh. ",io
makal.ae,makalae,"beach, shore, coast near a point (lae). ",ae
makale.na,makalena,fine muslin cloth. ,na
makaw.ai,makawai,small outlets for water through banks of taro patches; small waterways; water sources. ,ai
maka.like,makalike,"uniform, as in color, style, clothes. lit., similar face. ",like
makak.ai,makakai,sea-washed; spray. ,ai
makape.pe,makapepe,"fine-meshed, as a mat of medium weft, as 1.5 cm. ",pe
makek.au,makekau,warlike. ,au
makinike.la,makinikela,martingale. ,la
makepo.no,makepono,"bargain; profitable, reasonable in price or in conduct. ",no
malake.ke,malakeke,molasses. ,ke
makema.ke,makemake,defeated. ,ke
mala.kia,malakia, ,kia
maku.lu,makulu, ,lu
malail.ua,malailua,"name of a strong, blustering wind at Nuʻu-anu; to blow, of this wind. ",ua
makuakea.hu,makuakeahu,spirit of a living person. ,hu
makuaokalimuko.hu,makuaokalimukohu,"a seaweed. lit., parent of the limu kohu. ",hu
mako.na,makona,Mason. ,na
make.na,makena,"mourning, wailing, lamentation; to wail, lament, weep for joy. ",na
makenaw.ai,makenawai,place where a stream disappears in the ground. ,ai
makuka.na,makukana,boxfish (Lactoria fornasini). ,na
makelimon.io,makelimonio,matrimony. ,io
malei.la,maleila,"common pronunciation of malaila, but not so written. ",la
mala.na,malana, ,na
malama.la,malamala, ,la
mamama.ke,mamamake, ,ke
mamakawa.lu,mamakawalu, ,lu
