Word,Definition
maika₄,"tasteless, insipid. "
māikaika,"same as hoʻoikaika but less common: to strengthen, etc. "
maʻikāne,male sexual part. 
maʻi kau,"chronic or recurring disease or sickness. lit., placing sickness. "
māʻike,to know. 
māʻikeʻike, 
maʻi keiki,"pregnancy sickness; child's disease. cf. maʻi o kamaliʻi, children's disease. "
māiki₁,"little, small, wee. "
māiki₂,an ancient type of tapa (no data). 
maʻi kiaʻi kino,"illness due to natural causes rather than to sorcery or gods. lit., disease guarding body. "
maʻi kipa,"disease caused by an evil spirit. lit., visiting sickness. "
maiko,a surgeonfish (Acanthurus nigroris). 
māikoiko₁,"a common variety of sugar cane relished for chewing, named for maiko, a fish; stems blackish; leaves light yellow-green tinged with red; pith dark-brown; seldom flowery. "
māikoiko₂, 
māikoiko kahakaha,"a variety of sugar cane, a buff-brown and striped maroon when young, becoming olive brown and very deep purple on exposure. Readily mutates to māikoiko. "
Maikonekia,Micronesia; Micronesian. 
maʻi kukule,"cholera, as of humans or chickens "
maʻi kumupaʻa,disease caused by offending a kumupaʻa... 
maʻi kuni,"typhus, fever. lit., searing disease. "
maila,"the directional mai plus lā, there, then. "
māʻila₁,"light-brown skin, as of some part-Hawaiians. "
māʻila₂,"clear, as the sea on a sunny day when the depths can be seen. "
maʻi laha,contagious or infectious disease. 
mai laila,"from there, thence, whence. "
mailani,"to extol, praise, treat as a chief or great favorite, indulge, spoil, favor. "
maile₂,"maile sticks attached to the end of the ʻaukuʻu (pole) used for catching birds (the maile was gummed with lime, and birds perching on it were caught); name of a snare used in catching plovers around the leg; rod or wand used in the games of pūhenehene and ʻume; piece securing an ox's neck to the yoke. "
Maile₃,"four sweet-scented sisters with human and plant forms: Mailehaʻiwale (brittle maile), Mailekaluhea (fragrant maile), Mailelauliʻi (small-leaved maile), Mailepākaha (Laie 454-455). They appear in numerous legends, in the most famous as guardians of Lāʻieikawai and her house thatched with bird feathers in legendary Paliuli. Fragrance had supernatural power and was associated with gods (HM 531), royalty, and religion, especially for worshipers of Laka, the hula goddess. "
maile haʻi wale,"a variety of maile (f. myrtillifolia) with small, rounded leaves. lit., brittle maile. "
maile haole,"the myrtle (Myrtus communis), an aromatic shrub from the Mediterranean region and western Asia, a favorite garden plant in many countries, and formerly used in Rome for wreaths to crown the victor. The leaves look like those of maile and formerly were used by Hawaiian for leis like maile, the bark being stripped from the stems in the same way, with teeth holding one end. "
maile hohono,"a tropical American annual composite (Ageratum conyzoides and A. houstonianum), both a weed and an ornamental. It is a hairy, branching, weak-stemmed herb, with light-blue (rarely white or pink) florets borne in small tufted heads. "
maile honohono, 
maile kā kahiki,"lit., foreign vine maile. "
maile kaluhea,"lit., sweet-smelling maile. "
maile kūhonua,"a maile seedling about 8 cm or less high, with two or three leaves. "
maile kula, 
maile lau liʻi,"a variety of maile (f. angusta), with narrow pointed leaves. lit., small-leaved maile. "
maile lau nui,"a variety of maile (f. sulcata), with large leaves. lit., big-leaved maile. "
maʻi lele,"contagious or infectious disease. lit., jumping disease. "
maʻi lena,"jaundice. lit., yellow disease. "
maile pākaha,"a variety of maile (f. rotundata), with blunt ovate leaves. "
maile pilau,"stink vine (Paederia foetida). lit., stinking maile. "
māʻili₁,"pebble or stone, as used for making sinkers for squid fishing; pebbly, full of pebbles. "
māʻili₂,"small arrowroot (pia) tubers, so called because they grow well in stones. "
māʻili₃,"small taro, as found growing in weeds. "
māʻilihau,cord made of inner hau bark. 
māʻiliʻili, 
māilo,"wasting away of the body; thin, emaciated, as with tuberculosis. "
maʻi lōlō,paralysis. 
māʻilu,"a trifle, pittance; insignificant. "
māʻiluʻilu, 
mai … mai, 
maʻimaʻi,"chronically sick, ailing, sickly. "
maina, 
maina hoʻopahu,explosive mine. 
mainaina,"anger, wrath. "
maine,mine. 
Maine,Maine. 
maʻino, 
māino,"cruelty, misery, harm; cruel, miserable, hurt. (cf. ʻino and note lack of glottal stop here.) "
māinoino, 
māʻinoʻino,"to deface, mar, spoil, ruin; defamed, defaced. "
māio₁,"furrowed, grooved, cut in ridges; very thin, wasted. cf. ioio, groove, and māilo. "
māiʻo, 
māʻiʻo₁,"to cut raggedly and unevenly, as cloth or hair; dented; chipped, as crockery. "
Māʻiʻo₂,name of a star. 
māʻiʻo₃,a variety of sweet potato. 
māʻiʻo₄,a variety of taro. 
maʻi ʻoā,"slit genital, an insulting epithet for women. "
māioio, 
māʻioʻio,"to peep, chirp, as chickens. "
māʻiʻoʻiʻo, 
maʻiʻōkuʻu, 
Maʻiola,"a god of healing...  who was said to occupy certain trees, the wood of which counteracted the noxious effects of poison from the kālaipāhoa wood. lit., cured sickness. "
maʻi ola,to cure sickness; curable disease. 
maʻi ʻowā, 
maʻi Pākē,"leprosy. lit., Chinese disease. "
maʻi palū,"flu, influenza. "
maipoinaiaʻu,forget-me-not. 
maʻi pūhā,"ulcer, running sore. "
maʻi puʻupuʻu liʻiliʻi,"smallpox. lit., disease with many little pimples. "
maʻi puʻuwai,"heart disease, heart attack. "
maʻi ʻuhola,heart failure. 
māʻiuʻiu,"at a distance, out of sight. "
maʻi ʻula,"measles. lit., red sickness. "
māiʻuʻu,"toe- or fingernail, hoof, claw, paw. see mikiʻao claw, nail, as of finger or toe... "
maʻi wahine,female sexual part. 
maʻi wili,"incessant or recurring pain; venereal disease. lit., writhing sickness. "
maka₂,"   • beloved one, favorite; 
   • person. 
   cf. makamaka (very common), makana, pula, ʻōnohi. The pig god was affectionately called kuʻu maka (FS 199) by his grandmother, rather like ""apple of my eye."" "
maka₃,"   • point, 
   • bud, 
   • protuberance; 
   • center of a flower, including usually both the stamens and pistils; 
   • nipple, teat; 
   • sharp edge or blade of an instrument; 
   • point of a fishhook; 
   • beginning, commencement; 
   • source; 
   • any new plant shoot coming up. 
   • fig., descendant.   "
maka₄,"   • mesh of a net, 
   • mesh in plaiting; 
   • stitch, in sewing.   "
maka₆,"probably same as manu, canoe bow and stern pieces "
maka₇,"a seaweed. see alani, brown seaweeds, and below. "
maka₈,varieties of sweet potato. 
maka₉,recognition token. 
māka,"   • mark, marker, 
   • blaze, 
   • target; 
   • to mark; grade (school mark) (Wight) "
mākā,a kind of stone (perhaps pronounced māka). 
maka ʻā,"wide, staring eyes. lit., glowing eye. "
makaʻā₁,a fish (Malacanthus hoedtii). 
makaʻā₂,a variety of sugar cane. 
mākaʻa₁,"clear and open, as a view; a clearing. "
mākaʻa₂,a faint green striped mutant of the sweet potato. 
maka ʻaʻā, 
maka ʻaha,sennit mesh; fairly fine mesh. 
makaʻaha₁,"hammock, swinging netted bed. "
makaʻaha₂,"skin eruption, itch. "
maka ʻāhewa,"walleyed; cross-eyed. lit., eyes that err. "
maka ʻaiau,envious eye; to eye with envy. 
mākaʻakaʻa, 
makaʻākiu, 
maka ala,faint path or trail; beginning of a path. 
makaʻala,"alert, vigilant, watchful, wide awake; to attend to vigilantly. "
makaʻalā,"blind, but with eyes that look normal. "
makaʻāloa,"a small reddish crab (Macrophthalmus telescopicus) found on mud flats. lit., long, bright eyes. "
maka ʻaloʻalo,"shifty-eyed. lit., dodging eye. "
Makaʻālohilohi,"name of a star. lit., bright eye. "
makaʻālua, 
Maka-ʻamoʻamo,"name of a star or constellation in the Milky Way. lit., twinkling eye. "
makaʻaoa, 
makaau,to look around; a roving eye. 
makaʻau, 
-makaʻauʻa, 
makaʻāwela,"kind of soft, porous stone. "
makaʻē,to look at with disfavor; to look askance. 
makaʻeleʻele,"   • chilled, frozen. 
   • fig., benumbing, intense, tense, as emotion; 
   • exhausting, wearisome, of labor.    "
makāʻeo,"angry-appearing (probably a contraction of maka keʻeo, angry eyes). "
maka ʻeu,"mischievous or roving eyes, naughty eyes. "
makaʻewaʻewa, 
makaha₁,inflamed or swollen eye. 
makaha₂,pig disease. 
mākaha₁,"   • fierce, savage, ferocious; 
   • to seize property, to desolate, plunder, cheat    "
Mākaha₂,"name of a star; this star and Mākohi-lani were near the Pleiades, and were said to be patrons of fighters. "
mākaha₃, 
mākaha₄,to speak disparagingly or insultingly of. 
mākāhā,"   • sluice gate, as of a fish pond; 
   • entrance to or egress from an enclosure.    "
makahahi, 
makahai,"hasty; active, as a child into everything. "
Makahaiaku,name of a star. 
Makahaiwaʻa,"name of a star. lit., eye following canoe. "
mākahakaha,"clearing, as rain. "
maka hakahaka,"sunken eyes, as one long sick; deep pit or hollow; open space, as a clearing in a forest or clear space in a lava flow. "
Mākaha Kona,star name (no data). 
mākāhala,"three shrubs in the tomato family: (1) wild tobacco or paka (Nicotiana gluaca), from South America, with long, narrow, yellow flowers and ovate, blue-green leaves; (2) day cestrum (Cestrum diurnum), from the West Indies, with small, white, tubular flowers, fragrant by day; oval leaves; black berries; (3) orange cestrum (Cestrum aurantiacum), from Guatemala, with longer, narrow, orange flowers. (Neal 750–1) On Niʻihau, Tecomaria capensis, cape honeysuckle. "
mākāhala ʻula,"a shrub similar to mākāhala (3), orange cestrum, except that the flower is bronze-red. "
makahālili,a marine shell (Peasiella tantilla). 
makahani,"to step lightly, touch lightly, to skim lightly. "
makahauʻiole, 
makahehi,"   • admiration, to admire;  
   • desire for, 
   • wonder; 
   • amazement; 
   • attractive, entrancing; 
   • be entangled.   "
makahekili,"hailstone. lit., thunder eye. "
maka helei,eye with lid drawn down; ectropion. 
makahi,a kind of fish. 
mākahi₁,"one-eyed (short for maka kahi). see chant, mākole₁. "
mākahi₂,net mesh large enough to admit the entrance of one finger; a net with such a mesh. 
makahia,"roving, unsteady, restless eyes; sleepless. "
makahiapo,"first-born child, oldest child. lit., firstborn person. "
makahiki₂,"ancient festival beginning about the middle of October and lasting about four months, with sports and religious festivities and taboo on war; this is now replaced by Aloha Week. "
Makahiki Hou,New Year. 
makahiki lā keu,"leap year. lit., extra-day year. "
makahiki leleʻoi,"leap year. lit., year jump ahead. "
maka hilahila,"bashful eyes; bashful, timidly averting one's gaze. "
makahinu,kind of hard stone. 
maka hinu,"bright face, cheerful look. "
maka hīʻō,"eyes that dart in every direction, as if looking for mischief; a mischievously alluring look. "
mākahi ʻoā,"a net mesh larger than one finger's width, but not large enough for two fingers, 1 - 1½ inches) "
Makaholowaʻa,"name of a star, perhaps variant name for the North Star. lit., sailing-canoe eye. "
maka hou,"beginning, new start. "
makahune,"fine mesh or weft, as of net or mat. "
mākai, 
makaia,a rare term defined in (For. 5:165) as a swift runner; probably makaiʻa. 
makaiʻa₁,"whitened pupil of a blind person's eye, cataract. lit., fish eye. "
makaiʻa₂,"a kind of stone, used for adzes and poi pounders. "
makaiʻa₃, 
mākaia,"   • revenge, vengeance, 
   • treachery, treacherous,
   • traitor, betrayer, turncoat,
   • betrayal    "
makaiauli,"a limpet, Celluna exarata; flesh within ʻopihi shells. "
maka ihe,spear point. 
mākaʻi hoʻomalu,probation officer. 
mākaʻi hoʻomalu pō,"patrolling night police. lit., police making night peaceful. "
maka ihu,"bowsprit of a canoe; sharp point at the bow. lit., bow point. "
makaihuwaʻa,phosphorescent light seen in water at night. 
Makaihuwaʻa,star name. 
maka ʻike,"to see clearly and with keen powers of observation; to see more than most, especially to see supernatural things or ghosts not seen by others; to have the gift of second sight. lit., seeing eye. "
maka iki,"eye smaller than the other. lit., small eye. "
mākaʻi kiʻekiʻe,high sheriff. 
Makaikiolea,"wind name, probably at Kauaʻi. lit., small eye of Lea. "
mākaʻikiu,"detective. lit., spying police. "
mākaʻi koa,"military police. lit., soldier police. "
mākaʻi kū huina,"traffic policeman. lit., policeman stationed at corners. "
maka ila,"a senile pigmentation caused by sunburn of the eye, as found among Hawaiians; person with such an eye (such persons were said to be observant and critical). lit., birthmark eye. "
makaili,"rocky patches where sweet potatoes or taro were cultivated (For. 6:165); soil consisting of coarse sand, cinders, or gravel. "
makailo,"young shoot, as for transplanting. "
Makaʻimoʻimo,"name of a constellation in the Milky Way. lit., blinking eyes, twinkling eyes. "
makaʻina,guard; watchful. 
maka ʻino,to look at with hatred; to lose affection for one; one who looks with hatred. 
mākaʻi nui,sheriff. 
makaʻīʻō,"same as maka līʻō, wild eye. "
Makaʻiolani,"name of a star. lit., eye of the royal hawk. "
mākaʻi pō,"night watchman, night police. "
makaiwa₁,"mother-of-pearl eyes, as in an image, especially of the god Lono. "
Makaiwa₂,nine guiding stars. 
mākaʻi wahine,police matron. 
makakāʻalā, 
makakai,sea-washed; spray. 
maka kakaʻa,shifty eyes; to have such. 
Makakakeka,Madagascar. 
maka kanaka,"many people, crowds of people. "
makakēhau,"heart's desire. lit., dew eye. "
maka keleawe,"brazen look; horse eye of a whitish color, but with good vision. lit., brass eye. "
makakī,to look at with hatred. 
maka kiʻekiʻe,proud look (Sol. 6.17) ; haughty air. 
maka kihi,to look out of the corner of the eyes; eye drawn back at the corner. 
maka kiʻi,flirtatious eyes; to lure or attract with the eyes. 
makakiʻi,"mask. lit., image face. "
maka kila₁,"a name given to the kala poni, sweet potato. "
maka kila₂,"pen; steel point, as of a weapon. lit., steel (Eng.) point. "
maka kilo,"observant, watchful eyes; to watch with great attention. "
makākiu,"spy, detective, spying eye; watchful, vigilant, spying; to spy. "
maka koa,"bold, unafraid, fierce. lit., brave eye. "
maka koʻa,"landmark for a fishing ground. lit., fishing-ground point. "
maka koali,"wild sweet potato found in Puna, Hawaiʻi; it may have been eaten in famine times; fed raw to pigs. "
maka kole, 
makakū,creative imagination of an artist. 
maka kui,"needle or nail point; stitch. cf. maka o ke kui, eye of a needle. "
makakuʻikuʻi,"to scowl, leer hatefully. lit., pounding eyes. "
Makakukeka,Massachusetts. 
makala₁,"   • to loosen, undo, untie, 
   • open a little, 
   • liberate or set at liberty; 
   • to remit, as a debt; 
   • to forgive; 
   • to free of defilement or uncleanness; 
   • to open or unfold, as a flower.    "
makala₂,a trail. 
makāla, 
mākala₁,myrtle. 
mākala₂,marshal. 
Mākala₃,Marshall (Islands). 
Mākala ʻAilana,Marshall Islands. 
makalae,"beach, shore, coast near a point (lae). "
makalahia₁,"sleepless, awake. "
makalahia₂, 
mākalakala₁, 
mākalakala₂, 
maka lalau,"cross-eyed, with eyes that seem to look inward. lit., roving eyes. "
makalapua,"handsome, beautiful; to blossom forth. "
makalau₁,"carbuncle, boil. "
makalau₂,cluster of spears. 
makalau₃,"many buds, as on a pussy willow. fig., many offspring. "
Makalaukoa,rain name. 
makāla ulua,ulua fishermen; seekers of human victims for sacrifice. 
maka launa,"friendly, having many friends and associates; sociable. "
makalē,"mackerel, canned sardines. "
maka leʻa,"twinkle-eyed, happy-eyed, mischievous. "
makaleha,"to look about as in wonder or admiration, to glance. "
makaleho,"   • covetous, lustful, wanton, lascivious;
   • incontinence;  
   • to admire (Kel. 17), desire. 
   lit., cowrie eye, perhaps so called because the octopus clings to the cowrie.   "
maka lehua,"lehua flower petals. fig., attractive, as young girls. "
mākālei₁,fish trap. 
mākālei₂,"name of a supernatural tree found on Molokaʻi; portions of its root were placed by the gates of fish ponds, as they were thought to attract fish. "
mākālei₃, 
makalele,name of a major illness (no data). 
makalena,fine muslin cloth. 
maka lena₁,"unfriendly, suspicious glance from under the eyelid; to glance thus. lit., drawn eye. "
maka lena₂,"yellow center of a flower, as of a daisy. "
makalena puʻu,"dotted swiss cloth. lit., lumped muslin. "
makali₁, 
makali₂,"barely cooked, underdone. "
makali₃,"glowing, bright, as of fire. "
makali₄,to bait a hook. 
makaliʻi₁,"tiny, very small, fine, wee, small-meshed; narrow wefts. "
Makaliʻi₂,Pleiades; Castor and Pollux. see Pleiades. 
Makaliʻi₃,Hawaiian month name; the six summer months collectively. 
Makaliʻi₄,"a chief of Waimea, Kauai, father-in-law of Manokalanipō, and famous as an agriculturalist. A month and the summer season collectively were named for him. During the makahiki festivals food plants were symbolically dropped from his net (HM 366-367). Several times Kamapuaʻa killed all of Chief ʻOlopana₁'s men except Makaliʻi, who as the sole survivor took the news to ʻOlopana₁. Later, when Makaliʻi had become chief of Kauaʻi, he was frightened by Kamapuaʻa's long chant of his victories; he then chanted Kama's name songs, and so his life was spared, but he was sent away to live in the mountains. (FS 198-203, 230-239). In one account (For. 5:364-365), the gods Kāne and Kanaloa sent messengers up (i luna) to ask Makaliʻi whether Kaulu, a noisy kava drinker, was man or god. Later Makaliʻi gave his nets to Kaulu so that he might entangle and kill Haumea. His name is given to the Pleiades. By some he was considered a navigator. "
makaliʻiliʻi, 
makalika,"marguerite, daisy. "
makalike,"uniform, as in color, style, clothes. lit., similar face. "
maka lilio,eyes with epicanthic fold. 
makalio,"taut, as a rope. lit., tight mesh. "
maka loa,"very green, as a fruit; barely cooked, very raw. "
makaloa₁,"a perennial sedge (Cyperus laevigatus), found in or near fresh or salt water in warm countries. From a horizontal, creeping stem rise long, slender unbranched stems, each topped by a small inflorescence. Formerly the plants were valued in Hawaiʻi for making the fine Niʻihau mats. "
makaloa₂,"general name for shellfish with long sharp edges (Thais intermedia, Drupa morum). see also ʻōlepe makaloa. "
makaloa₃,a seaweed. 
maka lokomaikaʻi,"bountiful eye (Sol. 22.9) ; one who looks kindly, charitably, and with good will. lit., good-hearted face. "
maka lole,"eyelid turned back, exposing the under side of the lid; an insulting term, as prisoners were tortured by tattooing the exposed eyelid. lit., turned eye. "
maka lua₁,"two-face, double-edged; two-fold, as a plaited mat; hypocritical. "
maka lua₂,"socket of the eyeball. fig., depths of the sea. "
maka lua₃,"fishing net with mesh wide enough to admit two fingers. lit., double mesh. "
mākālua₁,"hole for house posts or for planting, as taro; to dig such a hole. "
mākālua kele,a large mākālua hole. 
maka luhi,"tired eyes, tired people, especially those who have been working hard on a community project. "
makaluku,to plan slaughter; to determine to destroy. 
makamae,"precious, of great value, highly prized, darling. "
makamaka₁,"intimate friend with whom one is on terms of receiving and giving freely; pal, buddy; host. fig., anything very helpful, as education. "
makamaka₂, 
makamaka₃,"buds, as forming on the corm of a taro. "
makamaka hānai,friend. 
makamaka heluhelu,"reader, as of a newspaper. lit., reading friend. "
makamaka nui,"one with a host of friends because of a genial, kindly, or hospitable nature; many friends. "
makame,Madame. 
maka mino,"indented, non-protruding nipple, as is difficult for a baby to grasp. "
maka moena,"mesh in mat made by plaiting over one and under one; similar style in quilting; check plait. lit., mat mesh. "
maka momi, 
makamua,lead horses or oxen in a team. 
maka mua,"   • first, beginning, commencement, first time; 
   • first child of a family. 
   lit., first end. "
makanaʻā,"plants growing on lava beds (probably a contraction or maka i nāʻaʻā, budding in the lava). "
makana aloha,gift of friendship or love; freewill offering. 
makanahele,"wild, untamed; of the wilderness or forest. lit., forest person. "
makana hele,"parting gift. lit., going gift. "
makanalau, 
makanau,twinkling of eyes. 
makani₂,"ghost, spirit. "
makani₃,"call of sentinel, similar to ""all's well"". "
Makanihānailoli,"name of a gentle wind; it is said to permit loli to come out of their holes and feed.  lit., wind that feeds sea slug. "
makani hau none,"ice-cold mountain wind. lit., icy, annoying wind. "
makani hele uluulu,hurricane. 
makani holo ʻūhā,"cold wind. lit., wind running [over] thighs. "
makani kaʻa wiliwili,"tornado. lit., wind revolving twisting. "
makani kamaʻāina,usual wind of a place. 
makani kū honua,"sudden strong wind, gust. lit., wind arriving suddenly. "
makani noho,"spirit that possesses a medium and speaks through him. lit., spirit that takes possession. "
makani ʻoluʻolu,"favorable or fair wind, refreshing breeze. "
makani pāhili,"cyclone, hurricane. "
makani pūkīkī,"gust, strong wind. "
makani uluulu,hurricane. 
makani wili,"whirlwind, twisting wind. "
maka nui,a variety of sweet potato. 
makanunui,"widely spaced, as grooves on a tapa beater. "
maka nunui,big eyes. cf. kiʻi maka nunui under kiʻi₁. 
Makao₁,star name (no data). 
Makao₂,"Macao, a city governed by Portugal, near Hong Kong. "
mākaʻo,"cf. kūmimi mākaʻo, k.o. crab... "
maka ʻoi,"piercing, penetrating, sharp eyes. "
mākaʻokaʻo₁, 
mākaʻokaʻo₂,high; height. 
maka ole,"   • eyetooth; 
   • point of a dog's tooth, 
   • fig., point of an ʻōʻō, digging stick; sprouting plant. "
maka onaona,"a sweet, lovely, or tender expression of face or eyes; also said of the eyes of the kole, a fish. "
makaʻopihi₁,opihi scooped out of its shell. 
makaʻopihi₂,"a fine pandanus mat, of 6 cm strands. lit., fine mesh. "
makaʻōpiʻi, 
makaʻōpio,a variety of taro. 
maka ʻou,"excelling eye, epithet for a councilor (kālaimoku), who had served under three rulers in three generations, and hence was regarded as full of wisdom. "
makapā₁,"feeble, of light, as firelight in the daytime; shy, wild, as a bird. "
makapā₂,"stones that break in a fire, not desirable for the imu. "
makapaʻa,"person blind in one eye, one-eyed; blind in one eye (it was considered bad luck to meet such a person); blind. lit., closed eye. "
maka pala,"soft, ripe; ready to burst, of a boil. "
makapāpipi,"hollow worn in lava rock by the sea, where salt is collected, natural salt pan. "
makapehu,"   • swollen; 
   • suffering from hunger; 
   • hungry person.   "
maka pela,"dirty face; sticky, dirty eyes. "
maka peni,pen point. 
makapepe,"fine-meshed, as a mat of medium weft, as 1.5 cm. "
maka pī,"running eyes, bleary eyes. "
maka piapia,eyes sticky with viscous matter; watery eyes; insulting epithet for one who does not find what he is looking for. 
makapipipi₁,"small eyes; pregnant women were discouraged from eating pipipi shellfish lest their children be born with small eyes, hence the name. "
makapipipi₂,"tiny, twinkling stars. "
maka pōniuniu,"dizziness, faintness, lack of courage; obscure, dizzy, faint. lit., dizzy eye. "
makapōuli,"dizziness; dizzy, faint. lit., blacknight eyes. "
-makapū, 
maka puaʻa,breast nipple that stands out and is easy for a baby to take; pig nipple. 
maka puhi,"fishhook with two opposite barbs, as used for eels. lit., eel point. "
māka puke,bookmark. 
makapuʻu,"variety of fish (no data). lit., bulging eyes, hill point. "
makau,fishhook. 
mākau,"same as mākaukau, able, competent, capable, handy, efficient, proficient, versed, adept, skilled, expert, qualified; prepared... The word is related to ʻākau, right hand. "
makaua₁,"hardhearted, unfriendly; troubled, vexed. lit., tough face. "
makaua₂,"to increase, grow larger. "
makaua₃,a variety or taro. 
makaʻua, 
mākaua,war dead (short for make kaua). 
makauaua₁, 
makauaua₂,"to toughen by drying, as hide. lit., tough face. "
maka uhi₁,"face tattooed solid, without patterning. "
maka uhi₂,"tattooed eyelid, as a humiliating sign of a warrior's defeat. "
maka uhi₃,downcast eyes. 
makaʻuhia, 
Mākaukau₂,star name (no data). 
mākaʻukaʻu, 
makaʻu kiʻi,fear of images representing gods. 
makaʻu kūhewa,"sudden fear, panic. "
makāula, 
maka ʻulaʻula,"pinkeye; inflamed or bloodshot eye. lit., red eye. "
maka uli,"black eye, as from a bruise. "
makaʻulia, 
-makauliʻi, 
makauliʻi₁,"   • economical, thrifty, provident; 
   • miserly, avaricious, eager to own. "
makauliʻi₂,"broad-backed, thick-shelled, of a turtle. "
Makaʻunulau,"name of a navigational star. lit., eyes drawing many. "
makaʻuo,"gathering and tying, as pala fern for a heiau service, "
makau pāweo,"small shell hook, as used for ʻōpelu fishing. lit., hook to turn away. "
makaʻūpē,grief. 
makaʻupena,"midriff, fat. "
maka-ʻupena,"design, as carved on a tapa beater and used in quilting. "
maka ʻupena,net mesh. 
makaʻu wale,"coward, cowardice; afraid for no reason, easily frightened. "
makaʻuwāwae₁,"excrement lying exposed on the ground. lit., feared [by] feet. "
makaʻuwāwae₂,anything on which one fears to tread. 
makawai,small outlets for water through banks of taro patches; small waterways; water sources. 
maka wai,watery-eyed; eyes welling with tears; tender-eyed. 
maka waiū,nipple of the breast. 
makawalu₁,"numerous, many, much, in great quantities (sometimes used with implication of chiefly mana). lit., eight eyes. "
makawalu₂,"type of fighting on plains covered with brush, with irregularly grouped warriors. "
makawela₁,"   • glowing, burning; 
   • full of hate, fury, anger. 
   • fig. term for the despised kauā, outcasts. "
makawela₂,type of stone from which weights for cowry octopus lures were made. 
makawela₃, 
makawelawela, 
maka weli,"glaring, threatening eyes; to glare, glower. "
makawī, 
make₂,"desire, want; to want. After ʻaʻole, [mai, ʻaʻohe,] make expresses a weak command, as ""you better not."" "
make₃,"price, barter, exchange. "
mākē,masthead. 
makea, 
mākea, 
makeʻai,"hungry. lit., want food. "
-mākeʻaka, 
make anu,"to be very cold, chilled, freezing. "
Makeaupeʻa,name of a star or constellation. 
make ʻawahua iho,"death due to mental depression. lit., bitterness within death. "
makeʻe,"   • covetous, desirous to have; 
   • greedy, 
   • to prize, have affection for.   "
makeʻe kānāwai,law-abiding. 
mākeʻekeʻe, 
makeʻe kūlana,to desire to preserve the status quo; conservative. 
makeʻe pono aupuni,patriotic; desirous for the welfare of the nation. 
makeʻe waiwai,"avarice, covetousness (Ier. 22.17) ; eagerness to acquire wealth. "
mākēhā,"shish, to shish, swish, especially accompanied by flash, as of skyrockets; flash, as of lightning; to flash. "
makehewa,"bad bargain, vain undertaking; in vain, useless, without profit. "
makehia, 
make kaka ola,"death caused by capturing the spirit of a live person. lit., death strike [the] living. "
makekau,warlike. 
mākeke₂,"black mustard (Brassica nigra), a cosmopolitan herb, a weed in Hawaiʻi, but formerly cultivated for the seeds, which are the main source of table mustard. Small yellow flowers, and later erect seed pods, are borne on tall stems. "
-makekeʻeo, 
mākeke nui,"large market, supermarket. "
Makekonia,Macedonia. 
makela,muscles. 
Makela,Madeira. 
makele, 
makelia,material. 
Makelika,Madrid. 
makelimonio,matrimony. 
make loa,"to die (in contrast to make, which may mean ""defeated, faint""). For a pre-Christian concept, see make₁. "
makemake₂,defeated. 
makemakika,mathematics. 
makemakika hoʻopili ʻia,"applied mathematics. lit., referred mathematics. "
makemakika ʻokoa,pure mathematics. 
makena₁,"mourning, wailing, lamentation; to wail, lament, weep for joy. "
makena₂,"calm, of sea, atmosphere. "
mākena,"many, numerous; often, much. "
makenawai,place where a stream disappears in the ground. 
mākēneki,"magnet, magneto. "
make pilau,"complete defeat, as in card games, to be completely defeated. "
make pōloli,to die of starvation; faint with hunger. 
makepono,"bargain; profitable, reasonable in price or in conduct. "
make ulu niu,"madness; to be mad.  lit., death [from] whirling. "
make wale,"to die of itself, to die without cause, to die or wilt easily. "
māki,to march. 
mākī,"to roll, fold. "
mākia₁,"   • aim, purpose; 
   • to aim or strive for, to concentrate on.
   • motto. "
mākia₂,"   • pin, nail, wedge, spike, stake, bolt; to nail, bolt, pin; 
   • crucify, 
   • to establish, as a kingdom; 
   • to destroy by sorcery; 
   • to drive stakes, as in surveying; 
   • to fasten.    "
mākiʻa,"maybe, perhaps, probably. "
makiawa,"round herring (Etrumeus micropus); common in estuaries, as at Pearl Harbor. "
makihi,cressa cretica. cf. (Neal 701). 
makiʻilohelohe,a service during luakini dedication. 
makika₁,"mosquito. In (Puk. 8.16) , makika translates ""gnats"" (RSV) and ""lice"" (KJV). In (Hal. 105.31) , makika is ""swarm of flies"" (RSV) and ""divers sorts of flies"" (KJV). "
makika₂,"plant blight that attacked sweet potato, taro, and other food crops, believed caused by mosquitoes. "
makiki₁, 
makiki₂,"type of stone used as weights for octopus lures (Malo 19), and for adzes. "
makikoe,"long, tall, slender, as a tree. "
mākila,"Maui name for mānai, needle; to string, as leis. "
makili,"   • to crack,  cracked, split open
   • appear through a crack, 
   • show, come to light; 
   • to come off, as shingles;   "
mākili,"a drop; to drop, as water. cf. kilihau, kilihune, (Hal. 37.25) . "
mākilikili, 
mākilo,"   • to eye wistfully, to look at longingly, 
   • to beg thus; 
   • beggar.    "
makimaki, 
makini₁,"uneven, as land. "
makini₂,a kind of fish. 
mākini₁,"group of spears tied together, used as a battering ram in war (from maka kini, many points). "
mākini₂,"many deaths; death-inflicting, deathly (from make kini, many deaths). "
mākini₃,"gourd mask, as used by canoemen. "
mākinikā₁,"monkey. fig., ugly person; ugly. "
mākinikā₂,Hawaiian whalers' name for Eskimo. 
makinikela,martingale. 
mākinikini,"hilly; notched, as a ridge. "
mākiu, 
mākō₁,"rough, rocky; large. "
mākō₂, 
makoa₁,"   • fearless, courageous, 
   • aggressive.    "
makoa₂, 
